label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Muebles,9,226,546,321,00513219-o_d26433f7_600x600.jpg,600,600
Muebles,63,199,619,294,0fd6da92c8360d87a5962857c87b8644.jpg,736,551
Muebles,18,68,600,434,1111-1.jpeg,659,604
Muebles,121,188,813,359,15-02-17RG975.jpg,1074,692
Muebles,168,363,868,439,16018787-1_1.jpg,1200,1200
Muebles,162,661,1390,881,1834868.jpeg,2000,1634
Muebles,259,538,2037,1217,20220902_114800-scaled.jpg,2560,1920
Muebles,56,29,659,474,2064281291302_2.jpg,750,555
Muebles,79,425,842,468,24350592.jpg,1000,1000
Muebles,218,239,712,440,30-020210_ipvk_4-mejores-materiales-para-una-mesa-de-comedor-73329.jpeg,1200,800
Muebles,703,5,227,196,30-020210_ipvk_4-mejores-materiales-para-una-mesa-de-comedor-73329.jpeg,1200,800
Muebles,1038,337,162,217,30-020210_ipvk_4-mejores-materiales-para-una-mesa-de-comedor-73329.jpeg,1200,800
Muebles,72,399,571,197,301316020007-2.jpg,700,700
Muebles,44,418,637,264,301417028012-1-1.jpg,700,700
Muebles,236,428,1067,998,387342de75ce75448f8f001817a5c5.jpg,1500,1500
Muebles,106,142,889,419,4.jpg,1000,605
Muebles,59,136,1382,669,6423536_1.jpg,1500,1500
Muebles,64,839,671,615,6423536_1.jpg,1500,1500
Muebles,804,846,618,618,6423536_1.jpg,1500,1500
Muebles,3,148,354,321,8624894334.jpg,360,480
Muebles,195,214,355,222,88190b8069b7d89de13dbe33e09c043a.jpg,550,557
Muebles,3,233,173,155,88190b8069b7d89de13dbe33e09c043a.jpg,550,557
Muebles,128,472,1022,580,91_163c419a-3eed-425a-a8fb-a3c27385e836_1024x10242x.png,1200,1200
Muebles,158,240,683,319,BANNER-GENERICO-FERIA-COLCHON-1_947b27dc-e728-4cda-9336-c6a3af39508c_1024x1024.jpg,1024,671
Muebles,107,115,320,228,BIORN-I-mesa-comedor-POLAR-D-00397-01-010-041_m.jpg,485,359
Muebles,188,168,1212,522,Category_sofas-and-armchairs.jpg,1400,785
Muebles,18,153,1000,479,D199-25-014-00.jpg,1050,714
Muebles,45,203,734,370,D5052_834x700.jpg,833,700
Muebles,15,68,312,201,FV_Camas_MueblesRespaldoDeTela_19822_1.jpg,344,344
Muebles,0,204,597,312,Fresco-Foam-2023.jpg,600,600
Muebles,2,119,483,216,IDUN--mesa--extensible-ROBLE-D-00796-01-12-023_m.jpg,485,359
Muebles,13,137,482,210,IMG_7306_512x384.jpg,512,384
Muebles,69,11,703,336,INTERIOR-DROM.jpg,810,395
Muebles,155,149,544,401,ME_83_mesa2.jpg,800,600
Muebles,0,1,535,299,MINIATURA-535x300.jpg,535,300
Muebles,544,293,1220,910,ML600-reducida.jpg,2048,1278
Muebles,1,220,599,333,Mesa-Comedor-MII-03-Fresno-503-600x600.jpg,600,600
Muebles,5,2697,4995,3786,PH164824.jpg,5000,6483
Muebles,0,0,1472,1415,Pillowtop-mattress.jpg,1487,1451
Muebles,146,235,860,321,Sofa-Chester-Blog.jpg,1140,696
Muebles,324,284,353,288,Tipos-de-camas-articuladas.jpg,1000,649
Muebles,5,203,695,407,aeb2e1b4c7c49b3a8ccb8d989b5b5398.jpg,700,800
Muebles,36,176,237,150,aro-banera-.jpg,307,396
