label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Articulos de bano,360,218,76,168,Articulos de bano (1).avif,980,980
Articulos de bano,417,222,106,164,Articulos de bano (1).avif,980,980
Articulos de bano,410,322,90,83,Articulos de bano (1).avif,980,980
Articulos de bano,529,203,21,314,Articulos de bano (1).avif,980,980
Articulos de bano,543,223,39,308,Articulos de bano (1).avif,980,980
Articulos de bano,563,199,28,330,Articulos de bano (1).avif,980,980
Articulos de bano,582,195,45,334,Articulos de bano (1).avif,980,980
Articulos de bano,610,308,36,215,Articulos de bano (1).avif,980,980
Articulos de bano,599,222,51,299,Articulos de bano (1).avif,980,980
Articulos de bano,619,253,43,274,Articulos de bano (1).avif,980,980
Articulos de bano,650,257,49,245,Articulos de bano (1).avif,980,980
Articulos de bano,333,439,95,155,Articulos de bano (1).avif,980,980
Articulos de bano,374,455,134,144,Articulos de bano (1).avif,980,980
Articulos de bano,520,599,103,277,Articulos de bano (1).avif,980,980
Articulos de bano,595,517,91,338,Articulos de bano (1).avif,980,980
Articulos de bano,345,615,71,234,Articulos de bano (1).avif,980,980
Articulos de bano,49,742,51,140,Articulos de bano (1).avif,980,980
Articulos de bano,3,420,261,396,Articulos de bano (1).avif,980,980
Articulos de bano,4,830,63,64,Articulos de bano (1).avif,980,980
Articulos de bano,0,865,159,80,Articulos de bano (1).avif,980,980
Articulos de bano,429,685,78,189,Articulos de bano (1).avif,980,980
Articulos de bano,404,611,59,243,Articulos de bano (1).avif,980,980
Articulos de bano,122,184,57,151,Articulos de bano (1).jpeg,450,373
Articulos de bano,160,205,28,155,Articulos de bano (1).jpeg,450,373
Articulos de bano,182,170,33,176,Articulos de bano (1).jpeg,450,373
Articulos de bano,209,242,36,112,Articulos de bano (1).jpeg,450,373
Articulos de bano,244,189,48,168,Articulos de bano (1).jpeg,450,373
Articulos de bano,273,159,48,173,Articulos de bano (1).jpeg,450,373
Articulos de bano,297,73,29,65,Articulos de bano (1).jpeg,450,373
Articulos de bano,276,60,29,68,Articulos de bano (1).jpeg,450,373
Articulos de bano,230,113,51,34,Articulos de bano (1).jpeg,450,373
Articulos de bano,250,14,25,111,Articulos de bano (1).jpeg,450,373
Articulos de bano,220,2,41,129,Articulos de bano (1).jpeg,450,373
Articulos de bano,178,1,51,122,Articulos de bano (1).jpeg,450,373
