label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Electronica de Entretenimiento,0,2,316,251,Electronica de Entretenimiento (1).avif,580,330
Electronica de Entretenimiento,7,233,72,96,Electronica de Entretenimiento (1).avif,580,330
Electronica de Entretenimiento,152,202,85,60,Electronica de Entretenimiento (1).avif,580,330
Electronica de Entretenimiento,279,131,41,71,Electronica de Entretenimiento (1).avif,580,330
Electronica de Entretenimiento,350,1,229,260,Electronica de Entretenimiento (1).avif,580,330
Electronica de Entretenimiento,411,260,47,56,Electronica de Entretenimiento (1).avif,580,330
Electronica de Entretenimiento,252,266,173,64,Electronica de Entretenimiento (1).avif,580,330
Electronica de Entretenimiento,208,71,659,532,Electronica de Entretenimiento (1).jpeg,1043,695
Electronica de Entretenimiento,149,332,211,257,Electronica de Entretenimiento (1).jpg,1200,800
Electronica de Entretenimiento,393,108,763,542,Electronica de Entretenimiento (1).jpg,1200,800
Electronica de Entretenimiento,296,177,486,768,Electronica de Entretenimiento (1).png,1080,1080
Electronica de Entretenimiento,663,635,280,289,Electronica de Entretenimiento (1).png,1080,1080
Electronica de Entretenimiento,321,243,418,281,Electronica de Entretenimiento (1).webp,1056,594
Electronica de Entretenimiento,65,0,926,311,Electronica de Entretenimiento (1).webp,1056,594
Electronica de Entretenimiento,79,37,115,315,Electronica de Entretenimiento (10).jpg,400,400
Electronica de Entretenimiento,207,265,126,94,Electronica de Entretenimiento (10).jpg,400,400
Electronica de Entretenimiento,405,265,475,638,Electronica de Entretenimiento (10).webp,1706,960
Electronica de Entretenimiento,249,13,254,525,Electronica de Entretenimiento (11).jpg,750,555
Electronica de Entretenimiento,303,89,993,672,Electronica de Entretenimiento (11).webp,1600,900
Electronica de Entretenimiento,82,171,547,358,Electronica de Entretenimiento (12).jpg,1280,720
Electronica de Entretenimiento,650,183,543,375,Electronica de Entretenimiento (12).jpg,1280,720
Electronica de Entretenimiento,498,201,201,270,Electronica de Entretenimiento (12).webp,1200,675
Electronica de Entretenimiento,38,179,306,282,Electronica de Entretenimiento (13).jpg,463,625
Electronica de Entretenimiento,19,18,382,460,Electronica de Entretenimiento (13).webp,418,500
Electronica de Entretenimiento,228,1,339,797,Electronica de Entretenimiento (14).jpg,800,800
Electronica de Entretenimiento,60,117,344,290,Electronica de Entretenimiento (14).webp,500,500
Electronica de Entretenimiento,277,98,365,237,Electronica de Entretenimiento (15).jpg,1200,423
Electronica de Entretenimiento,192,217,88,174,Electronica de Entretenimiento (15).jpg,1200,423
Electronica de Entretenimiento,93,351,232,72,Electronica de Entretenimiento (15).jpg,1200,423
Electronica de Entretenimiento,342,338,252,57,Electronica de Entretenimiento (15).jpg,1200,423
Electronica de Entretenimiento,660,329,74,44,Electronica de Entretenimiento (15).jpg,1200,423
Electronica de Entretenimiento,658,202,75,149,Electronica de Entretenimiento (15).jpg,1200,423
Electronica de Entretenimiento,737,58,277,311,Electronica de Entretenimiento (15).jpg,1200,423
Electronica de Entretenimiento,13,23,337,445,Electronica de Entretenimiento (15).webp,364,500
Electronica de Entretenimiento,55,58,347,268,Electronica de Entretenimiento (16).jpg,800,460
Electronica de Entretenimiento,0,229,108,175,Electronica de Entretenimiento (16).jpg,800,460
Electronica de Entretenimiento,222,332,212,70,Electronica de Entretenimiento (16).jpg,800,460
Electronica de Entretenimiento,464,318,88,51,Electronica de Entretenimiento (16).jpg,800,460
