label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
juego de mesa,2,3,96,90,juego_mesa 1.jpeg,100,100
juego de mesa,5,99,230,100,juego_mesa 10.jpeg,237,212
juego de mesa,133,15,94,76,juego_mesa 10.jpeg,237,212
juego de mesa,37,28,69,58,juego_mesa 11.jpeg,225,225
juego de mesa,1,95,220,103,juego_mesa 11.jpeg,225,225
juego de mesa,16,127,189,57,juego_mesa 12.jpeg,261,193
juego de mesa,67,93,120,41,juego_mesa 12.jpeg,261,193
juego de mesa,139,12,96,94,juego_mesa 12.jpeg,261,193
juego de mesa,197,113,44,43,juego_mesa 12.jpeg,261,193
juego de mesa,9,6,110,106,juego_mesa 13.jpeg,224,224
juego de mesa,77,92,136,123,juego_mesa 13.jpeg,224,224
juego de mesa,14,51,168,175,juego_mesa 14.jpeg,197,255
juego de mesa,1,27,116,53,juego_mesa 15.jpeg,220,229
juego de mesa,4,123,134,73,juego_mesa 15.jpeg,220,229
juego de mesa,97,102,54,31,juego_mesa 15.jpeg,220,229
juego de mesa,142,117,75,56,juego_mesa 15.jpeg,220,229
juego de mesa,42,119,155,98,juego_mesa 16.jpeg,225,225
juego de mesa,29,8,159,107,juego_mesa 16.jpeg,225,225
juego de mesa,5,99,150,92,juego_mesa 17.jpeg,225,225
juego de mesa,75,111,141,97,juego_mesa 17.jpeg,225,225
juego de mesa,71,3,65,88,juego_mesa 17.jpeg,225,225
juego de mesa,2,102,226,115,juego_mesa 18.jpeg,229,221
juego de mesa,5,7,114,83,juego_mesa 18.jpeg,229,221
juego de mesa,6,2,91,90,juego_mesa 19.jpeg,100,100
juego de mesa,7,0,84,100,juego_mesa 2.jpeg,100,100
juego de mesa,2,7,96,88,juego_mesa 20.jpeg,100,100
juego de mesa,0,6,100,90,juego_mesa 21.jpeg,100,100
juego de mesa,5,5,88,90,juego_mesa 22.jpeg,100,100
juego de mesa,23,7,53,84,juego_mesa 23.jpeg,100,100
juego de mesa,22,72,24,22,juego_mesa 24.jpeg,100,100
juego de mesa,23,42,24,21,juego_mesa 24.jpeg,100,100
juego de mesa,26,7,20,18,juego_mesa 24.jpeg,100,100
juego de mesa,55,3,18,18,juego_mesa 24.jpeg,100,100
juego de mesa,55,31,21,22,juego_mesa 24.jpeg,100,100
juego de mesa,56,65,17,20,juego_mesa 24.jpeg,100,100
juego de mesa,25,47,48,20,juego_mesa 25.jpeg,100,100
juego de mesa,14,8,75,80,juego_mesa 26.jpeg,100,100
juego de mesa,23,49,57,49,juego_mesa 29.jpeg,100,100
juego de mesa,0,9,100,75,juego_mesa 3.jpeg,100,100
juego de mesa,6,2,85,93,juego_mesa 30.jpeg,100,100
juego de mesa,8,4,70,96,juego_mesa 31.jpeg,100,100
juego de mesa,0,0,100,100,juego_mesa 32.jpeg,100,100
