label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Juguetes,43,5,55,38,juguetes 1.jpeg,100,100
Juguetes,0,19,46,57,juguetes 1.jpeg,100,100
Juguetes,37,49,60,47,juguetes 1.jpeg,100,100
Juguetes,17,6,126,151,juguetes 10.jpeg,159,159
Juguetes,25,4,114,153,juguetes 11.jpeg,159,159
Juguetes,5,9,154,138,juguetes 12.jpeg,159,159
Juguetes,22,3,135,107,juguetes 13.jpeg,159,127
Juguetes,14,16,129,143,juguetes 14.jpeg,159,159
Juguetes,2,3,152,155,juguetes 15.jpeg,159,159
Juguetes,6,4,146,139,juguetes 16.jpeg,159,159
Juguetes,5,7,154,142,juguetes 17.jpeg,159,159
Juguetes,9,5,207,217,juguetes 18.jpeg,225,225
Juguetes,12,11,97,99,juguetes 19.png,225,225
Juguetes,6,113,104,106,juguetes 19.png,225,225
Juguetes,130,15,89,90,juguetes 19.png,225,225
Juguetes,126,110,90,107,juguetes 19.png,225,225
Juguetes,1,1,99,98,juguetes 2.jpeg,100,100
Juguetes,4,5,94,95,juguetes 20.jpeg,100,100
Juguetes,2,8,98,79,juguetes 21.jpeg,100,100
Juguetes,25,27,57,53,juguetes 22.jpeg,100,100
Juguetes,15,3,72,96,juguetes 23.jpeg,100,100
Juguetes,7,6,56,43,juguetes 24.jpeg,238,211
Juguetes,64,5,37,51,juguetes 24.jpeg,238,211
Juguetes,93,5,57,59,juguetes 24.jpeg,238,211
Juguetes,148,4,41,57,juguetes 24.jpeg,238,211
Juguetes,191,9,44,48,juguetes 24.jpeg,238,211
Juguetes,29,51,16,95,juguetes 24.jpeg,238,211
Juguetes,21,58,54,59,juguetes 24.jpeg,238,211
Juguetes,68,65,33,54,juguetes 24.jpeg,238,211
Juguetes,97,96,141,2,juguetes 24.jpeg,238,211
Juguetes,138,92,42,36,juguetes 24.jpeg,238,211
Juguetes,8,149,72,43,juguetes 24.jpeg,238,211
Juguetes,3,121,46,23,juguetes 24.jpeg,238,211
Juguetes,128,131,51,33,juguetes 24.jpeg,238,211
Juguetes,176,103,59,59,juguetes 24.jpeg,238,211
Juguetes,97,94,44,56,juguetes 24.jpeg,238,211
Juguetes,102,62,135,33,juguetes 24.jpeg,238,211
Juguetes,55,126,43,37,juguetes 24.jpeg,238,211
Juguetes,88,157,149,39,juguetes 24.jpeg,238,211
Juguetes,8,9,25,53,juguetes 25.jpeg,218,231
Juguetes,42,11,43,46,juguetes 25.jpeg,218,231
Juguetes,85,13,28,61,juguetes 25.jpeg,218,231
Juguetes,112,7,54,38,juguetes 25.jpeg,218,231
Juguetes,174,7,34,95,juguetes 25.jpeg,218,231
Juguetes,9,69,46,46,juguetes 25.jpeg,218,231
Juguetes,63,67,41,56,juguetes 25.jpeg,218,231
Juguetes,114,79,49,57,juguetes 25.jpeg,218,231
Juguetes,120,52,53,39,juguetes 25.jpeg,218,231
Juguetes,157,83,43,41,juguetes 25.jpeg,218,231
Juguetes,5,122,49,38,juguetes 25.jpeg,218,231
Juguetes,0,171,58,44,juguetes 25.jpeg,218,231
Juguetes,52,114,54,60,juguetes 25.jpeg,218,231
Juguetes,93,123,53,41,juguetes 25.jpeg,218,231
Juguetes,147,118,39,44,juguetes 25.jpeg,218,231
Juguetes,63,179,58,41,juguetes 25.jpeg,218,231
Juguetes,112,160,92,55,juguetes 25.jpeg,218,231
Juguetes,15,18,326,110,juguetes 26.jpeg,360,140
