label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Toallas,4,57,96,41,Toallas 1.jpeg,100,100
Toallas,23,6,137,36,Toallas 10.jpeg,177,177
Toallas,22,39,136,16,Toallas 10.jpeg,177,177
Toallas,21,52,135,19,Toallas 10.jpeg,177,177
Toallas,26,64,133,14,Toallas 10.jpeg,177,177
Toallas,29,74,130,15,Toallas 10.jpeg,177,177
Toallas,32,86,128,16,Toallas 10.jpeg,177,177
Toallas,7,89,139,87,Toallas 10.jpeg,177,177
Toallas,2,43,171,83,Toallas 11.jpeg,177,177
Toallas,48,42,112,33,Toallas 12.jpeg,177,177
Toallas,46,73,108,37,Toallas 12.jpeg,177,177
Toallas,21,104,151,61,Toallas 12.jpeg,177,177
Toallas,6,2,166,52,Toallas 13.jpeg,177,172
Toallas,4,47,159,50,Toallas 13.jpeg,177,172
Toallas,6,80,160,54,Toallas 13.jpeg,177,172
Toallas,7,113,155,54,Toallas 13.jpeg,177,172
Toallas,72,49,123,81,Toallas 14.jpeg,225,225
Toallas,32,40,113,83,Toallas 14.jpeg,225,225
Toallas,75,108,130,64,Toallas 14.jpeg,225,225
Toallas,24,124,58,35,Toallas 14.jpeg,225,225
Toallas,5,79,200,109,Toallas 15.jpeg,225,225
Toallas,31,58,152,59,Toallas 15.jpeg,225,225
Toallas,1,18,187,63,Toallas 16.jpeg,225,225
Toallas,0,76,194,43,Toallas 16.jpeg,225,225
Toallas,8,99,202,73,Toallas 16.jpeg,225,225
Toallas,2,133,223,73,Toallas 16.jpeg,225,225
Toallas,56,68,124,33,Toallas 17.jpeg,225,225
Toallas,43,93,145,47,Toallas 17.jpeg,225,225
Toallas,27,133,169,57,Toallas 17.jpeg,225,225
Toallas,71,57,89,28,Toallas 18.jpeg,236,214
Toallas,54,89,122,35,Toallas 18.jpeg,236,214
Toallas,43,123,152,50,Toallas 18.jpeg,236,214
Toallas,39,48,186,120,Toallas 19.jpeg,225,225
Toallas,12,0,18,98,Toallas 2.jpeg,100,100
Toallas,40,4,29,93,Toallas 2.jpeg,100,100
Toallas,65,7,28,86,Toallas 2.jpeg,100,100
Toallas,28,15,160,81,Toallas 20.jpeg,225,225
Toallas,12,94,195,30,Toallas 20.jpeg,225,225
Toallas,10,122,204,38,Toallas 20.jpeg,225,225
Toallas,14,151,201,31,Toallas 20.jpeg,225,225
Toallas,15,177,201,32,Toallas 20.jpeg,225,225
Toallas,9,56,199,136,Toallas 21.jpeg,225,225
Toallas,12,65,188,94,Toallas 22.jpeg,225,225
Toallas,24,12,241,157,Toallas 23.jpeg,287,176
Toallas,52,59,113,42,Toallas 24.jpeg,225,225
Toallas,25,91,166,49,Toallas 24.jpeg,225,225
Toallas,21,122,183,66,Toallas 24.jpeg,225,225
Toallas,106,33,95,55,Toallas 25.jpeg,275,183
Toallas,192,22,83,132,Toallas 25.jpeg,275,183
Toallas,130,78,77,79,Toallas 25.jpeg,275,183
Toallas,91,75,55,72,Toallas 25.jpeg,275,183
Toallas,0,1,100,94,Toallas 26.jpeg,100,100
Toallas,33,11,28,23,Toallas 27.jpeg,100,100
Toallas,26,62,32,28,Toallas 27.jpeg,100,100
Toallas,25,5,67,51,Toallas 28.jpeg,100,100
Toallas,1,1,99,99,Toallas 29.jpeg,100,100
Toallas,7,10,82,75,Toallas 3.jpeg,100,100
Toallas,37,1,46,52,Toallas 30.jpeg,100,100
Toallas,8,8,251,156,Toallas 31.jpeg,261,193
Toallas,25,43,200,130,Toallas 32.jpeg,225,225
Toallas,1,2,224,223,Toallas 33.jpeg,225,225
Toallas,25,36,183,143,Toallas 34.jpeg,225,225
Toallas,0,43,216,146,Toallas 35.jpeg,225,225
Toallas,31,17,168,145,Toallas 36.jpeg,233,217
Toallas,2,142,231,71,Toallas 36.jpeg,233,217
Toallas,51,74,148,62,Toallas 37.jpeg,225,225
Toallas,10,113,206,85,Toallas 37.jpeg,225,225
Toallas,69,69,205,114,Toallas 38.jpeg,274,184
Toallas,131,0,143,80,Toallas 38.jpeg,274,184
Toallas,10,3,115,82,Toallas 38.jpeg,274,184
Toallas,9,88,147,121,Toallas 39.jpeg,225,225
Toallas,87,19,123,166,Toallas 39.jpeg,225,225
Toallas,5,30,81,46,Toallas 4.jpeg,100,100
Toallas,36,49,153,96,Toallas 40.jpeg,300,168
Toallas,243,110,43,33,Toallas 40.jpeg,300,168
Toallas,188,100,48,43,Toallas 40.jpeg,300,168
Toallas,220,70,45,39,Toallas 40.jpeg,300,168
Toallas,70,58,95,33,Toallas 41.jpeg,236,214
Toallas,53,90,128,39,Toallas 41.jpeg,236,214
Toallas,38,124,161,45,Toallas 41.jpeg,236,214
Toallas,114,48,161,107,Toallas 42.jpeg,275,183
Toallas,50,9,142,89,Toallas 43.jpeg,275,183
Toallas,18,71,145,99,Toallas 43.jpeg,275,183
Toallas,166,98,69,64,Toallas 43.jpeg,275,183
Toallas,95,36,164,149,Toallas 44.jpeg,259,194
Toallas,44,46,162,127,Toallas 45.jpeg,259,195
Toallas,212,100,47,49,Toallas 45.jpeg,259,195
Toallas,24,10,161,139,Toallas 46.jpeg,311,162
Toallas,3,89,228,63,Toallas 46.jpeg,311,162
Toallas,1,10,220,215,Toallas 47.jpeg,225,225
Toallas,59,26,144,62,Toallas 48.jpeg,261,193
Toallas,5,70,256,97,Toallas 48.jpeg,261,193
Toallas,156,16,58,14,Toallas 49.jpeg,275,183
Toallas,133,26,100,57,Toallas 49.jpeg,275,183
Toallas,104,81,152,39,Toallas 49.jpeg,275,183
Toallas,3,43,155,75,Toallas 5.jpeg,159,159
Toallas,28,16,80,37,Toallas 50.jpeg,290,174
Toallas,110,35,71,31,Toallas 50.jpeg,290,174
Toallas,25,56,81,50,Toallas 50.jpeg,290,174
Toallas,177,37,61,41,Toallas 50.jpeg,290,174
Toallas,169,83,103,24,Toallas 50.jpeg,290,174
Toallas,108,68,69,40,Toallas 50.jpeg,290,174
Toallas,14,94,139,69,Toallas 50.jpeg,290,174
Toallas,133,109,125,65,Toallas 50.jpeg,290,174
Toallas,16,70,144,68,Toallas 51.jpeg,275,183
Toallas,150,28,96,83,Toallas 51.jpeg,275,183
Toallas,7,25,196,119,Toallas 52.jpeg,275,183
Toallas,6,6,207,231,Toallas 53.jpeg,213,237
Toallas,11,67,131,76,Toallas 54.jpeg,225,225
Toallas,33,122,162,70,Toallas 54.jpeg,225,225
Toallas,1,4,223,221,Toallas 55.jpeg,225,225
Toallas,27,75,173,87,Toallas 56.jpeg,236,214
Toallas,27,11,207,172,Toallas 57.jpeg,275,183
Toallas,7,12,218,213,Toallas 58.jpeg,225,225
Toallas,17,14,287,125,Toallas 59.jpeg,320,158
Toallas,13,8,132,143,Toallas 6.jpeg,159,159
Toallas,7,92,206,67,Toallas 60.jpeg,225,225
Toallas,46,8,174,195,Toallas 61.jpeg,225,225
Toallas,8,86,149,128,Toallas 61.jpeg,225,225
Toallas,0,0,87,99,Toallas 62.jpeg,100,100
Toallas,0,18,225,207,Toallas 63.jpeg,225,225
Toallas,23,93,59,72,Toallas 64.jpeg,299,168
Toallas,163,84,136,72,Toallas 64.jpeg,299,168
Toallas,9,40,180,164,Toallas 65.jpeg,197,256
Toallas,90,29,115,37,Toallas 66.jpeg,225,225
Toallas,60,59,143,65,Toallas 66.jpeg,225,225
Toallas,31,114,172,75,Toallas 66.jpeg,225,225
Toallas,6,43,116,95,Toallas 67.jpeg,300,168
Toallas,127,13,173,139,Toallas 67.jpeg,300,168
Toallas,30,40,185,140,Toallas 68.jpeg,257,196
Toallas,17,26,191,172,Toallas 69.jpeg,208,243
Toallas,8,33,151,100,Toallas 7.jpeg,159,159
Toallas,4,23,155,121,Toallas 8.jpeg,159,159
Toallas,5,25,154,117,Toallas 9.jpeg,159,159
