label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Cubiertos,19,238,307,86,111.jpg,400,400
Cubiertos,914,633,148,493,1255826-03.jpg,2000,1480
Cubiertos,1130,596,107,540,1255826-03.jpg,2000,1480
Cubiertos,1262,545,100,625,1255826-03.jpg,2000,1480
Cubiertos,1451,627,223,678,1255826-03.jpg,2000,1480
Cubiertos,186,93,85,94,137626496-vajilla-con-estilo-negro-sobre-fondo-blanco-endecha-plana-vista-superior.jpg,450,300
Cubiertos,281,0,55,78,137626496-vajilla-con-estilo-negro-sobre-fondo-blanco-endecha-plana-vista-superior.jpg,450,300
Cubiertos,321,198,37,84,137626496-vajilla-con-estilo-negro-sobre-fondo-blanco-endecha-plana-vista-superior.jpg,450,300
Cubiertos,351,180,78,90,137626496-vajilla-con-estilo-negro-sobre-fondo-blanco-endecha-plana-vista-superior.jpg,450,300
Cubiertos,20,21,297,51,140112141-cuchillos-para-picar-y-especias-en-una-mesa-oscura-tonificado.jpg,450,300
Ollas,156,109,233,174,175704091-ollas-de-metal-en-la-cocina-elC3A9ctrica-enfoque-selectivo.jpg,450,300
Ollas,92,67,118,88,175704091-ollas-de-metal-en-la-cocina-elC3A9ctrica-enfoque-selectivo.jpg,450,300
Ollas,54,132,100,61,198006769-nuevos-utensilios-de-cocina-en-estufa-de-inducciC3B3n-en-la-cocina.jpg,450,300
Ollas,141,139,103,65,198006769-nuevos-utensilios-de-cocina-en-estufa-de-inducciC3B3n-en-la-cocina.jpg,450,300
Ollas,204,136,204,152,206630643-pot-near-frying-pan-with-vegetables-on-electric-stove-in-kitchen.jpg,450,300
Ollas,112,120,132,132,206688152-utensilios-de-cocina-y-verduras-sobre-la-mesa-de-la-cocina.jpg,450,300
Ollas,260,124,128,119,206688152-utensilios-de-cocina-y-verduras-sobre-la-mesa-de-la-cocina.jpg,450,300
Ollas,164,176,129,81,206690227-kitchen-utensils-on-countertop-in-modern-kitchen-interior.jpg,450,300
Ollas,291,115,88,76,206690227-kitchen-utensils-on-countertop-in-modern-kitchen-interior.jpg,450,300
Ollas,402,114,48,85,206690227-kitchen-utensils-on-countertop-in-modern-kitchen-interior.jpg,450,300
Ollas,280,201,170,97,206690227-kitchen-utensils-on-countertop-in-modern-kitchen-interior.jpg,450,300
Cubiertos,89,45,169,882,222.jpg,780,1000
Cubiertos,289,771,453,100,222.jpg,780,1000
Cubiertos,613,131,135,533,222.jpg,780,1000
Cubiertos,518,147,76,512,222.jpg,780,1000
Cubiertos,356,80,76,665,222.jpg,780,1000
Ollas,0,198,191,102,22322.jpg,450,300
Cubiertos,764,1042,167,169,232.jpg,1335,2000
Cubiertos,657,1097,166,158,232.jpg,1335,2000
Cubiertos,537,1140,170,158,232.jpg,1335,2000
Cubiertos,515,1145,146,169,232.jpg,1335,2000
Cubiertos,485,1152,154,167,232.jpg,1335,2000
Ollas,924,365,322,290,232.jpg,1335,2000
Ollas,54,138,172,144,2342134.jpg,450,300
Ollas,242,150,145,128,2342134.jpg,450,300
Cubiertos,610,1220,186,798,23423.jpg,2560,2560
Cubiertos,891,1170,216,868,23423.jpg,2560,2560
Cubiertos,1217,959,151,1200,23423.jpg,2560,2560
Cubiertos,1468,1074,191,989,23423.jpg,2560,2560
Cubiertos,1749,1094,211,909,23423.jpg,2560,2560
Cubiertos,46,193,88,394,323.jpg,436,600
Cubiertos,139,56,64,526,323.jpg,436,600
Cubiertos,213,13,59,578,323.jpg,436,600
Cubiertos,272,60,109,531,323.jpg,436,600
Cubiertos,238,43,140,155,3232.jpg,736,494
