label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
productos de limpieza,109,23,295,576,100009_500x2.jpg,500,636
productos de limpieza,99,20,316,566,100018_1_500x2.jpg,500,636
productos de limpieza,151,22,225,569,100032_500x2.jpg,500,636
productos de limpieza,132,15,235,584,100034_500x2.jpg,500,636
productos de limpieza,73,18,316,577,100035_500x2.jpg,500,636
productos de limpieza,121,36,286,541,100045_500x2.jpg,500,636
productos de limpieza,118,32,352,524,100093_2b404981-3d23-40ff-9235-405e87bf3d55_600x2.jpg,600,600
productos de limpieza,92,46,278,564,100095_e35d8336-b241-4912-95aa-1693a398b8b6_500x2.jpg,500,635
productos de limpieza,72,36,368,542,100117_500x2.jpg,500,636
productos de limpieza,104,37,244,552,100118_500x2.jpg,500,636
productos de limpieza,79,40,320,549,100119_500x2.jpg,500,636
productos de limpieza,128,50,474,872,100128_7a5ad987-ea4f-45b4-b63c-efe64324107e_800x2.jpg,800,1017
productos de limpieza,116,12,267,594,100131_500x2.jpg,500,636
productos de limpieza,34,16,426,593,100132_500x2.jpg,500,636
productos de limpieza,87,15,299,596,100135_500x2.jpg,500,636
productos de limpieza,41,28,417,574,100136_500x2.jpg,500,636
productos de limpieza,104,14,288,596,100139_500x2.jpg,500,636
productos de limpieza,93,36,315,560,100142_a4fade7c-e9e0-4b28-88d7-fc6086ca4bb8_500x2.jpg,500,636
productos de limpieza,70,17,351,561,100143_103763fc-1e00-464e-bd33-0dff6dd4e7a0_500x2.jpg,500,636
productos de limpieza,96,33,284,549,100144_167cce63-e308-4f67-92a5-01e5debb0dd2_500x2.jpg,500,636
productos de limpieza,121,16,211,579,100157_500x2.jpg,500,636
productos de limpieza,96,52,329,552,100159_500x2.jpg,500,636
productos de limpieza,88,48,288,545,100161_500x2.jpg,500,636
productos de limpieza,100,43,290,558,100162_500x2.jpg,500,636
productos de limpieza,177,45,433,924,100188_800x2.png,800,1017
productos de limpieza,137,34,267,570,100247_712130ec-b4fa-4d61-ab70-e23dc03a1882_500x2.jpg,500,636
productos de limpieza,106,40,275,557,100334_4cdd8dfc-dbfc-49f0-b1f5-75fc4a052156_500x2.jpg,500,635
productos de limpieza,97,92,634,828,100389_c602f203-6d0b-4524-ae31-ad07158b49d1_800x2.png,800,1017
productos de limpieza,15,173,457,272,100391_500x2.jpg,500,636
productos de limpieza,108,40,309,571,100420_3965c418-e72f-4a46-a5c0-b99d4e85cfce_500x2.jpg,500,636
productos de limpieza,97,43,290,556,100440_c8bec4a7-4a57-4101-933c-1a1fbc755a8e_500x2.jpg,500,635
productos de limpieza,163,61,443,912,100519_800x2.png,800,1017
productos de limpieza,90,53,322,537,100547_500x2.jpg,500,636
productos de limpieza,87,23,354,579,100549_500x2.jpg,500,636
productos de limpieza,134,26,216,589,100561_500x2.jpg,500,636
productos de limpieza,78,59,354,530,100616_500x2.jpg,500,636
productos de limpieza,71,36,363,550,100654_500x2.jpg,500,636
productos de limpieza,30,260,701,484,100656_800x2.jpg,800,1017
productos de limpieza,104,42,293,531,100718_3374669d-2f86-4025-b277-07edaf817c39_500x2.jpg,500,636
