label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
ropa y calzado,21,51,353,435,1631949947c868d13c8710de22c91f8e1b04f1a35d_thumbnail_405x5522.webp,405,539
ropa y calzado,45,19,323,513,1634708088ca526045a49a937f577107b7e70761f3_thumbnail_405x552.jpg,405,539
ropa y calzado,2,29,215,254,1636790121f10eafa57d1ef4d3e3491cde825d4409_thumbnail_220x293.jpg,219,293
ropa y calzado,13,55,197,182,1645182145a5f4e001b5771fb5af47bfd1869ac57f_thumbnail_220x293.jpg,219,293
ropa y calzado,30,89,1306,1669,1645611849f56f57d09e1353dc2d485ae324a8d055.jpg,1340,1785
ropa y calzado,14,57,1308,1619,1650802131a0ad1db688ea70f445ff311e43f5ed7c.jpg,1340,1785
ropa y calzado,14,23,380,479,1650802152ed18f40ac676ccb793f3f640c39fa5b6_thumbnail_405x5522.webp,405,539
ropa y calzado,71,60,266,399,1651112126cb5d20b1c527cd2777e615e7f8e57b9a_thumbnail_405x552.jpg,405,539
ropa y calzado,96,56,244,284,1651423487b5aa0d911033f0aa88d81ea5460a5562_thumbnail_405x5522.webp,405,539
ropa y calzado,54,70,313,201,1653282833b819eb00be9872a487b44b37f833f590_thumbnail_405x552.jpg,405,539
ropa y calzado,36,257,1290,1458,1654772338b5d321d156dfeee604cc11093768e24f.jpg,1340,1785
ropa y calzado,62,35,284,413,1655358711ce5a77033235e4b4dd9c10ece25d29f7_thumbnail_405x552.jpg,405,539
ropa y calzado,61,29,277,238,1658713967beb9027f798273240974bddf9ceee313_thumbnail_405x552.webp,405,539
ropa y calzado,63,27,284,449,1664349735dbf9437fe01965974ff072dcec0bbb62_thumbnail_405x552.jpg,405,539
ropa y calzado,77,30,252,438,1664349737a295b15c13a1564d3207f761fbdd7eb2_thumbnail_405x552.jpg,405,539
ropa y calzado,41,60,359,426,1672109617b870212e564c7295878a9d33608b60d4_thumbnail_405x5522.jpg,405,539
ropa y calzado,1,194,400,305,1678953425d5e4c5b3d9a6f5b030ca1b0073353049_thumbnail_405x552.jpg,405,539
ropa y calzado,0,36,404,483,16835963478b32f3a564fee0b24ec94fa659f0b804_thumbnail_405x552.jpg,405,539
ropa y calzado,89,230,214,131,1684477879a5c113f575890ddd5386f083a44e83ed_thumbnail_405x552.jpg,405,539
ropa y calzado,102,88,183,206,1685345047ceaed5de1b1dac112558ccb9823088a3_thumbnail_405x552.jpg,405,539
ropa y calzado,123,439,172,89,1685624475d75b839573280976424ed2a034fcb2e6_thumbnail_405x552.jpg,405,539
ropa y calzado,4,21,396,501,1685797216f3129d96a67196de91eeec5ca35bfb8f_thumbnail_405x5522.jpg,405,539
ropa y calzado,0,166,1331,1517,1695349116937e7f53493aab19c9050aaffc3a1153.jpg,1340,1785
ropa y calzado,5,38,398,466,168009065999125a084ecf3db07b88f301038127ca_thumbnail_405x552.jpg,405,539
ropa y calzado,2,159,1338,1610,168178114118173cc632a5106b4350e6d51a02f31c.jpg,1340,1785
ropa y calzado,66,20,249,263,1683510487845462b9267f3db140a1cb3fcbffd6d0_thumbnail_405x552.jpg,405,539
ropa y calzado,16,428,304,111,168532567059788157fc343b9f388253f5614bf029_thumbnail_405x552.jpg,405,539
ropa y calzado,3,26,216,253,169664835695865757a021e57f5d4a550d43065c8c_thumbnail_220x293.jpg,219,293
ropa y calzado,4,29,401,478,1665632264722427855bff1ab64bcc4e59dc352755_thumbnail_405x552.jpg,405,539
ropa y calzado,0,52,386,431,1631949953d087a305c0ea8cde465a1f5459449fde_thumbnail_405x5522.webp,405,539
ropa y calzado,229,429,88,103,1657691445f8489ac48438be2054f4198e8ad5e262_thumbnail_405x5522.webp,405,539
ropa y calzado,253,440,92,90,1657708290f9d9225bf18e1ecf9122221e79b2736b_thumbnail_405x552.jpg,405,539
ropa y calzado,212,389,97,148,1657882162b6cb52e8598bfb27599166fd02bdcea9_thumbnail_405x552.jpg,405,539
ropa y calzado,368,1344,413,336,1658713967beb9027f798273240974bddf9ceee313.jpg,1340,1785
ropa y calzado,75,15,252,261,1660871678eec978f2812e8944b19d21a4deaadab1_thumbnail_405x552.webp,405,539
ropa y calzado,0,18,215,258,1661150085c0b16499b39186316be025a88b5e725c_thumbnail_220x293.jpg,219,293
ropa y calzado,51,41,298,429,1664349733c2b84ac60a7b0afd58f5c7b8b616623b_thumbnail_405x552.jpg,405,539
ropa y calzado,35,19,157,233,1665193675ae72c95a5bb990a943ef46b1233ef36d_thumbnail_220x293.jpg,219,293
ropa y calzado,2,10,403,452,1668850619f199fee12b162eaa3e6420266b277919_thumbnail_405x552.webp,405,539
ropa y calzado,8,0,211,285,1670637272d6b0d18f5ae5ba4529d4014feb84f7dc_thumbnail_220x293.jpg,219,293
ropa y calzado,2,19,394,520,1673231227d9e57367f50b2f71edeb2c6171c0adc4_thumbnail_405x552.jpg,405,539
ropa y calzado,6,32,396,425,1673241560c4d4526529a6275b882330fe15346fae_thumbnail_405x5522.jpg,405,539
ropa y calzado,2,59,403,436,1679576986e895a9b51a9bf13277cb081531e0dfd6_thumbnail_405x5522.webp,405,539
ropa y calzado,57,80,291,433,1680090661ae24ad954a3985eac9237e8931219dca_thumbnail_405x552.jpg,405,539
ropa y calzado,71,53,187,340,1622435200fdb8e409c89f9e46bac7ef3dbe533b2f_thumbnail_336x.webp,336,447
ropa y calzado,55,131,269,359,1626057508e93e7239bafac8fe92390835c226d951_thumbnail_405x552.jpg,405,539
ropa y calzado,31,20,351,474,1627010518ff96e37f51990a7f7cbb27709cec8476_thumbnail_405x5522.webp,405,539
ropa y calzado,11,60,321,341,1629177227eda870d58c4452ec6f1cde030f043a16_thumbnail_336x.webp,336,447
ropa y calzado,199,401,161,92,1636449542c3c2bdbfca368f03257acb17d20f75b3_thumbnail_405x5522.webp,405,539
ropa y calzado,20,82,367,390,1648690883c0a1513a3e5331384704d7ee4e3e83cc_thumbnail_405x552.jpg,405,539
ropa y calzado,104,172,192,335,1664154935ffab8eb7cc091139e955d9314a4a3c12_thumbnail_405x552.jpg,405,539
ropa y calzado,45,142,262,285,1687919624e9dbd88a7f79a4f58ec6fc7caecf9ba9_thumbnail_405x552.jpg,405,539
ropa y calzado,25,114,350,420,16152640010cd81b2a2989f9e20533e7a5b5e8f47f_thumbnail_405x552.jpg,405,539
ropa y calzado,98,161,238,363,16376557207f0954e95dfd46eaf8495f68f93fdbe1_thumbnail_405x552.jpg,405,539
ropa y calzado,223,466,82,72,16472269157a27440849c6d6f43a76dc6d5dce53b8_thumbnail_405x552.jpg,405,539
ropa y calzado,0,347,327,192,16485526741545a2f9821f99935974d9ce59eed58b_thumbnail_405x552.jpg,405,539
ropa y calzado,26,319,311,145,16595814222761fad798981b8155fd6e5dadc9bc8d_thumbnail_405x552.jpg,405,539
ropa y calzado,93,327,292,248,161050727560607fbaacff8d217dda71c190073992.jpg,450,600
ropa y calzado,0,216,1014,640,159630C-000-1_1024.png,1024,1024
ropa y calzado,3,403,1021,621,162053C-000-1_1024.png,1024,1024
ropa y calzado,0,597,1024,425,162063C-000-1_1024.png,1024,1024
